Description,ICD Code
"Age-related osteoporosis with current pathological fracture, unspecified pelvis, initial encounter for fracture",M80.0B9A
"Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with routine healing",M80.0B9D
"Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with delayed healing",M80.0B9G
"Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with nonunion",M80.0B9K
"Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with malunion",M80.0B9P
"Age-related osteoporosis with current pathological fracture, unspecified pelvis, sequela",M80.0B9S
"Other osteoporosis with current pathological fracture, pelvis",M80.8B
"Other osteoporosis with current pathological fracture, right pelvis",M80.8B1
"Other osteoporosis with current pathological fracture, right pelvis, initial encounter for fracture",M80.8B1A
"Other osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with routine healing",M80.8B1D
"Other osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with delayed healing",M80.8B1G
"Other osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with nonunion",M80.8B1K
"Other osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with malunion",M80.8B1P
"Other osteoporosis with current pathological fracture, right pelvis, sequela",M80.8B1S
"Other osteoporosis with current pathological fracture, left pelvis",M80.8B2
"Other osteoporosis with current pathological fracture, left pelvis, initial encounter for fracture",M80.8B2A
"Other osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with routine healing",M80.8B2D
"Other osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with delayed healing",M80.8B2G
"Other osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with nonunion",M80.8B2K
"Other osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with malunion",M80.8B2P
"Other osteoporosis with current pathological fracture, left pelvis, sequela",M80.8B2S
"Other osteoporosis with current pathological fracture, unspecified pelvis",M80.8B9
"Other osteoporosis with current pathological fracture, unspecified pelvis, initial encounter for fracture",M80.8B9A
"Other osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with routine healing",M80.8B9D
"Other osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with delayed healing",M80.8B9G
"Other osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with nonunion",M80.8B9K
"Other osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with malunion",M80.8B9P
"Other osteoporosis with current pathological fracture, unspecified pelvis, sequela",M80.8B9S
Recurrent and persistent immunoglobulin A nephropathy,N02.B
Recurrent and persistent immunoglobulin A nephropathy with glomerular lesion,N02.B1
Recurrent and persistent immunoglobulin A nephropathy with focal and segmental glomerular lesion,N02.B2
Recurrent and persistent immunoglobulin A nephropathy with diffuse membranoproliferative glomerulonephritis,N02.B3
Recurrent and persistent immunoglobulin A nephropathy with diffuse membranous glomerulonephritis,N02.B4
Recurrent and persistent immunoglobulin A nephropathy with diffuse mesangial proliferative glomerulonephritis,N02.B5
Recurrent and persistent immunoglobulin A nephropathy with diffuse mesangiocapillary glomerulonephritis,N02.B6
Other recurrent and persistent immunoglobulin A nephropathy,N02.B9
Nephrotic syndrome with diffuse membranous glomerulonephritis,N04.2
"Nephrotic syndrome with diffuse membranous glomerulonephritis, unspecified",N04.20
Primary membranous nephropathy with nephrotic syndrome,N04.21
Secondary membranous nephropathy with nephrotic syndrome,N04.22
Other nephrotic syndrome with diffuse membranous glomerulonephritis,N04.29
Isolated proteinuria with diffuse membranous glomerulonephritis,N06.2
"Isolated proteinuria with diffuse membranous glomerulonephritis, unspecified",N06.20
Primary membranous nephropathy with isolated proteinuria,N06.21
Secondary membranous nephropathy with isolated proteinuria,N06.22
Other isolated proteinuria with diffuse membranous glomerulonephritis,N06.29
Intrahepatic cholestasis of pregnancy,O26.64
"Intrahepatic cholestasis of pregnancy, first trimester",O26.641
"Intrahepatic cholestasis of pregnancy, second trimester",O26.642
"Intrahepatic cholestasis of pregnancy, third trimester",O26.643
"Intrahepatic cholestasis of pregnancy, unspecified trimester",O26.649
Postpartum acute kidney failure,O90.4
Hepatorenal syndrome following labor and delivery,O90.41
Other postpartum acute kidney failure,O90.49
Other congenital malformations of liver,Q44.7
"Other congenital malformation of liver, unspecified",Q44.70
Alagille syndrome,Q44.71
Other congenital malformations of liver,Q44.79
Craniosynostosis,Q75.0
Craniosynostosis unspecified,Q75.00
"Craniosynostosis unspecified, unilateral",Q75.001
"Craniosynostosis unspecified, bilateral",Q75.002
Craniosynostosis unspecified,Q75.009
Sagittal craniosynostosis,Q75.01
Coronal craniosynostosis,Q75.02
Coronal craniosynostosis unilateral,Q75.021
Coronal craniosynostosis bilateral,Q75.022
Coronal craniosynostosis unspecified,Q75.029
Metopic craniosynostosis,Q75.03
Lambdoid craniosynostosis,Q75.04
"Lambdoid craniosynostosis, unilateral",Q75.041
"Lambdoid craniosynostosis, bilateral",Q75.042
"Lambdoid craniosynostosis, unspecified",Q75.049
Multi-suture craniosynostosis,Q75.05
Cloverleaf skull,Q75.051
Pansynostosis,Q75.052
Other multi-suture craniosynostosis,Q75.058
Other single-suture craniosynostosis,Q75.08
Bardet-Biedl syndrome,Q87.83
Laurence-Moon syndrome,Q87.84
MED13L syndrome,Q87.85
Phelan-McDermid syndrome,Q93.52
Foreign body sensation of the circulatory and respiratory system,R09.A
"Foreign body sensation, unspecified",R09.A0
"Foreign body sensation, nose",R09.A1
"Foreign body sensation, throat",R09.A2
"Foreign body sensation, other site",R09.A9
Nontraumatic coma due to underlying condition,R40.2A
Mammographic density found on imaging of breast,R92.3
"Dense breasts, unspecified",R92.30
Mammographic fatty tissue density of breast,R92.31
"Mammographic fatty tissue density, right breast",R92.311
"Mammographic fatty tissue density, left breast",R92.312
"Mammographic fatty tissue density, bilateral breasts",R92.313
Mammographic fibroglandular density of breast,R92.32
"Mammographic fibroglandular density, right breast",R92.321
"Mammographic fibroglandular density, left breast",R92.322
"Mammographic fibroglandular density, bilateral breasts",R92.323
Mammographic heterogeneous density of breast,R92.33
"Mammographic heterogeneous density, right breast",R92.331
"Mammographic heterogeneous density, left breast",R92.332
"Mammographic heterogeneous density, bilateral breasts",R92.333
Mammographic extreme density of breast,R92.34
"Mammographic extreme density, right breast",R92.341
"Mammographic extreme density, left breast",R92.342
"Mammographic extreme density, bilateral breasts",R92.343
Toxic effect of gadolinium,T56.82
"Toxic effect of gadolinium, accidental (unintentional)",T56.821
"Toxic effect of gadolinium, accidental (unintentional), initial encounter",T56.821A
"Toxic effect of gadolinium, accidental (unintentional), subsequent encounter",T56.821D
"Toxic effect of gadolinium, accidental (unintentional), sequela",T56.821S
"Toxic effect of gadolinium, intentional self-harm",T56.822
"Toxic effect of gadolinium, intentional self-harm, initial encounter",T56.822A
"Toxic effect of gadolinium, intentional self-harm, subsequent encounter",T56.822D
"Toxic effect of gadolinium, intentional self-harm, sequela",T56.822S
"Toxic effect of gadolinium, assault",T56.823
"Toxic effect of gadolinium, assault, initial encounter",T56.823A
"Toxic effect of gadolinium, assault, subsequent encounter",T56.823D
"Toxic effect of gadolinium, assault, sequela",T56.823S
"Toxic effect of gadolinium, undetermined",T56.824
"Toxic effect of gadolinium, undetermined, initial encounter",T56.824A
"Toxic effect of gadolinium, undetermined, subsequent encounter",T56.824D
"Toxic effect of gadolinium, undetermined, sequela",T56.824S
Foreign body entering into or through a natural orifice,W44
Other foreign body entering into or through a natural orifice,W44.8
"Other foreign body entering into or through a natural orifice, initial encounter",W44.8XXA
"Other foreign body entering into or through a natural orifice, subsequent encounter",W44.8XXD
"Other foreign body entering into or through a natural orifice, sequela",W44.8XXS
Unspecified foreign body entering into or through a natural orifice,W44.9
"Unspecified foreign body entering into or through a natural orifice, initial encounter",W44.9XXA
"Unspecified foreign body entering into or through a natural orifice, subsequent encounter",W44.9XXD
"Unspecified foreign body entering into or through a natural orifice, sequela",W44.9XXS
Battery entering into or through a natural orifice,W44.A
"Battery unspecified, entering into or through a natural orifice",W44.A0
"Battery unspecified, entering into or through a natural orifice, initial encounter",W44.A0XA
"Battery unspecified, entering into or through a natural orifice, subsequent encounter",W44.A0XD
"Battery unspecified, entering into or through a natural orifice, sequela",W44.A0XS
Button battery entering into or through a natural orifice,W44.A1
"Button battery entering into or through a natural orifice, initial encounter",W44.A1XA
"Button battery entering into or through a natural orifice, subsequent encounter",W44.A1XD
"Button battery entering into or through a natural orifice, sequela",W44.A1XS
Other batteries entering into or through a natural orifice,W44.A9
"Other batteries entering into or through a natural orifice, initial encounter",W44.A9XA
"Other batteries entering into or through a natural orifice, subsequent encounter",W44.A9XD
"Other batteries entering into or through a natural orifice, sequela",W44.A9XS
Plastic entering into or through a natural orifice,W44.B
"Plastic object unspecified, entering into or through a natural orifice",W44.B0
"Plastic object unspecified, entering into or through a natural orifice, initial encounter",W44.B0XA
"Plastic object unspecified, entering into or through a natural orifice, subsequent encounter",W44.B0XD
"Plastic object unspecified, entering into or through a natural orifice, sequela",W44.B0XS
Plastic bead entering into or through a natural orifice,W44.B1
"Plastic bead entering into or through a natural orifice, initial encounter",W44.B1XA
"Plastic bead entering into or through a natural orifice, subsequent encounter",W44.B1XD
"Plastic bead entering into or through a natural orifice, sequela",W44.B1XS
Plastic coin entering into or through a natural orifice,W44.B2
"Plastic coin entering into or through a natural orifice, initial encounter",W44.B2XA
"Plastic coin entering into or through a natural orifice, subsequent encounter",W44.B2XD
"Plastic coin entering into or through a natural orifice, sequela",W44.B2XS
Plastic toy and toy part entering into or through a natural orifice,W44.B3
"Plastic toy and toy part entering into or through a natural orifice, initial encounter",W44.B3XA
"Plastic toy and toy part entering into or through a natural orifice, subsequent encounter",W44.B3XD
"Plastic toy and toy part entering into or through a natural orifice, sequela",W44.B3XS
Plastic jewelry entering into or through a natural orifice,W44.B4
"Plastic jewelry entering into or through a natural orifice, initial encounter",W44.B4XA
"Plastic jewelry entering into or through a natural orifice, subsequent encounter",W44.B4XD
"Plastic jewelry entering into or through a natural orifice, sequela",W44.B4XS
Plastic bottle entering into or through a natural orifice,W44.B5
"Plastic bottle entering into or through a natural orifice, initial encounter",W44.B5XA
"Plastic bottle entering into or through a natural orifice, subsequent encounter",W44.B5XD
"Plastic bottle entering into or through a natural orifice, sequela",W44.B5XS
Other plastic object entering into or through a natural orifice,W44.B9
"Other plastic object entering into or through a natural orifice, initial encounter",W44.B9XA
"Other plastic object entering into or through a natural orifice, subsequent encounter",W44.B9XD
"Other plastic object entering into or through a natural orifice, sequela",W44.B9XS
Glass entering into or through a natural orifice,W44.C
"Glass unspecified, entering into or through a natural orifice",W44.C0
"Glass unspecified, entering into or through a natural orifice, initial encounter",W44.C0XA
"Glass unspecified, entering into or through a natural orifice, subsequent encounter",W44.C0XD
"Glass unspecified, entering into or through a natural orifice, sequela",W44.C0XS
Sharp glass entering into or through a natural orifice,W44.C1
"Sharp glass entering into or through a natural orifice, initial encounter",W44.C1XA
"Sharp glass entering into or through a natural orifice, subsequent encounter",W44.C1XD
"Sharp glass entering into or through a natural orifice, sequela",W44.C1XS
Intact glass entering into or through a natural orifice,W44.C2
"Intact glass entering into or through a natural orifice, initial encounter",W44.C2XA
"Intact glass entering into or through a natural orifice, subsequent encounter",W44.C2XD
